WEIGHT,0.39
STEPS,12
Calibrate using 500 mb pressure steps
CYCLES,1
,
cycle,dir,step,pressure,d1,d2,d3,d4,d5,t0,t1,t2,t3,t4,t5
0,0,0,0,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,1000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,1500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,4,2000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,2500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,6,3000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,7,3500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,8,4000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,9,4500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,10,5000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,11,5500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,12,6000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,6000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,5500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2,5000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,4500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,4,4000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,5,3500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,6,3000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,7,2500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,8,2000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,9,1500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,10,1000,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,11,500,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,12,0,14,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0

Raw Data
Pressure,Time,Distance,Pressure delta
raw values
label,time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5,pd0,pd1,pd2,pd3,pd4,pd5,roll,pitch,yaw
calibrate pressure,22004457,14,10,0,0,0,0,3000,3000,3000,3000,3000,3000,-3000,-3000,-3000,-3000,-3000,-3000,0.0,0.0,0.0
calibrate pressure,22004467,14,10,0,0,0,0,3000,3000,3000,3000,3000,3000,-3000,-3000,-3000,-3000,-3000,-3000,0.0,0.0,0.0
calibrate pressure,22004467,14,10,0,0,0,0,3000,3000,3000,3000,3000,3000,-3000,-3000,-3000,-3000,-3000,-3000,0.0,0.0,0.0
calibrate pressure,22004487,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004497,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004507,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004507,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004527,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004537,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004537,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.0
calibrate pressure,22004547,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.1
calibrate pressure,22004567,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.1
calibrate pressure,22004567,14,10,0,0,0,0,3500,3500,3500,3500,3500,3500,-3500,-3500,-3500,-3500,-3500,-3500,0.0,0.0,0.1
calibrate pressure,22004587,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.1
calibrate pressure,22004587,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004597,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004607,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004617,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004627,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004647,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004647,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004657,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004677,14,10,0,0,0,0,4000,4000,4000,4000,4000,4000,-4000,-4000,-4000,-4000,-4000,-4000,0.0,0.0,0.0
calibrate pressure,22004687,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004697,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004707,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004717,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004717,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004737,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004737,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
calibrate pressure,22004757,14,10,0,0,0,0,4500,4500,4500,4500,4500,4500,-4500,-4500,-4500,-4500,-4500,-4500,0.0,0.0,0.0
