# elapsed, speed,x,y,z,roll,pitch,yaw,heading,new yaw, gForceX,gForceY,gForceZ,quatX,quatY,quatZ,quatW
5.467,2.816,0.105,-0.016,-0.498,-0.000,-0.004,-0.000,-1.881,-0.000,0.997,0.011,0.002,0.808,-0.003,0.589
5.516,2.813,0.102,-0.054,-0.498,-0.000,-0.004,0.000,-1.881,-0.003,0.997,0.011,0.002,0.808,-0.003,0.589
5.584,2.810,0.094,-0.073,-0.498,-0.000,-0.004,0.000,-1.881,-0.005,0.998,0.009,0.002,0.808,-0.003,0.589
5.649,2.808,0.082,-0.090,-0.498,-0.000,-0.003,0.000,-1.881,-0.008,0.998,0.007,0.002,0.808,-0.002,0.589
5.705,2.806,0.073,-0.101,-0.498,-0.000,-0.003,0.001,-1.880,-0.010,0.999,0.005,0.001,0.808,-0.002,0.589
5.771,2.803,0.042,-0.114,-0.498,-0.000,-0.002,0.001,-1.879,-0.013,1.000,0.002,0.001,0.807,-0.001,0.590
5.837,2.801,-0.016,-0.118,-0.498,-0.000,-0.001,0.001,-1.878,-0.014,1.000,-0.000,0.001,0.807,-0.001,0.591
5.893,2.799,-0.023,-0.118,-0.498,-0.000,-0.001,0.002,-1.876,-0.014,1.000,-0.001,0.000,0.806,-0.001,0.591
5.959,2.797,-0.091,-0.119,-0.498,-0.000,-0.000,0.002,-1.874,-0.014,0.999,-0.008,0.000,0.806,-0.000,0.592
6.026,2.795,-0.133,-0.119,-0.498,-0.000,0.001,0.003,-1.871,-0.014,0.998,-0.018,-0.000,0.805,0.000,0.594
6.081,2.793,-0.137,-0.119,-0.498,-0.000,0.001,0.003,-1.868,-0.014,0.998,-0.019,-0.001,0.804,0.001,0.595
6.148,2.792,-0.128,-0.119,-0.498,-0.000,0.002,0.004,-1.864,-0.014,0.997,-0.017,-0.001,0.803,0.001,0.596
6.215,2.791,-0.106,-0.119,-0.498,-0.000,0.002,0.004,-1.860,-0.014,0.996,-0.011,-0.001,0.802,0.002,0.598
